action,id,report_number,object_class,time,x,y,speed,nextx,nexty
newpoint,0,1,0,0,10925,28506,298,10938,28315
newpoint,1,1,1,0,5735,21994,298,5787,21968
newpoint,2,1,0,0,11683,10861,298,11667,10827
newpoint,3,1,0,0,15965,28650,298,16029,28772
newpoint,4,1,1,0,19902,11381,132,19657,11423
newpoint,5,1,0,0,8523,7168,298,8639,7242
newpoint,6,1,0,0,17521,11826,132,17521,11758
newpoint,7,1,1,0,7717,8359,298,8080,8640
newpoint,8,1,1,0,16244,8745,298,16254,8719
newpoint,9,1,0,0,15210,12815,298,15016,12494
newpoint,10,1,4,0,14880,19399,63.0625,14737,19365
newpoint,11,1,0,0,13861,27610,198,13786,27484
newpoint,12,1,0,0,5925,21491,298,6040,21363
newpoint,13,1,1,0,5435,14922,298,5439,14893
newpoint,14,1,3,0,10078,10536,126.125,10074,10585
newpoint,15,1,0,0,8727,10405,672,8800,10533
newpoint,16,1,1,0,6024,17849,504.5,6134,17890
newpoint,17,1,0,0,12686,11462,448,12800,11456
newpoint,18,1,1,0,8745,23785,504.5,8763,23800
newpoint,19,1,0,0,4610,10240,298,4590,10231
newpoint,20,1,0,0,12361,23231,298,12165,23159
newpoint,21,1,1,0,7532,8186,298,7449,8097
newpoint,22,1,0,0,11612,18650,198,11664,18577
newpoint,23,1,1,0,12917,6754,132,12957,6745
newpoint,24,1,1,0,19403,11157,132,19526,11007
newpoint,25,1,0,0,15734,9479,132,15801,9443
newpoint,26,1,2,0,13699,21726,252.25,13734,21632
newpoint,27,1,1,0,8978,16528,298,8974,16606
newpoint,28,1,1,0,5094,19171,298,5153,19171
newpoint,29,1,0,0,9349,20181,298,9511,20088
newpoint,30,1,4,0,11031,17972,63.0625,11014,17913
newpoint,31,1,3,0,15965,16718,126.125,16152,16648
newpoint,32,1,1,0,15288,15674,298,15299,15614
newpoint,33,1,0,0,12005,15117,298,12038,15208
newpoint,34,1,1,0,20424,9639,132,20405,9591
newpoint,35,1,1,0,7504,15396,298,7932,15752
newpoint,36,1,1,0,13689,19497,298,13631,19409
newpoint,37,1,1,0,9549,21771,298,9619,21771
newpoint,38,1,0,0,11496,5694,298,11367,5763
newpoint,39,1,0,0,6215,19825,298,6268,19819
newpoint,40,1,0,0,14589,28826,198,14525,28713
newpoint,41,1,0,0,14271,22741,298,14535,22311
newpoint,42,1,1,0,11666,18650,198,11579,18731
newpoint,43,1,0,0,14532,8378,448,14656,8326
newpoint,44,1,1,0,12784,25462,298,12779,25162
newpoint,45,1,1,0,9407,15695,448,9437,15695
newpoint,46,1,0,0,12684,15270,298,12596,15239
newpoint,47,1,0,0,15096,22775,298,15081,22665
newpoint,48,1,0,0,11120,6144,198,11129,6198
newpoint,49,1,2,0,8386,12660,252.25,8393,12673
newpoint,50,1,0,0,5111,19744,298,5143,19723
newpoint,51,1,0,0,12696,30279,298,12624,30154
newpoint,52,1,0,0,7778,19721,672,7881,19607
newpoint,53,1,1,0,18167,28501,132,17972,28594
newpoint,54,1,1,0,2538,18535,504.5,2531,18109
newpoint,55,1,0,0,14170,18099,448,14126,18104
newpoint,56,1,0,0,9090,19160,298,9072,19147
newpoint,57,1,3,0,7731,12181,126.125,7578,11995
newpoint,58,1,0,0,8370,19113,298,8405,19607
newpoint,59,1,0,0,7311,8252,298,7050,8562
newpoint,60,1,0,0,15915,23139,198,15931,23110
newpoint,61,1,0,0,4994,18271,298,4999,18252
newpoint,62,1,0,0,4604,19478,298,4799,19472
newpoint,63,1,1,0,13405,9155,298,13400,9111
newpoint,64,1,2,0,7931,17786,252.25,7943,17772
newpoint,65,1,0,0,11415,23364,298,11420,23407
newpoint,66,1,4,0,14242,27488,63.0625,14075,27155
newpoint,67,1,0,0,10922,13624,672,10808,13522
newpoint,68,1,3,0,18820,20992,126.125,18810,21021
newpoint,69,1,2,0,14657,22361,252.25,14535,22311
newpoint,70,1,0,0,8669,7869,298,9018,7412
newpoint,71,1,1,0,9629,14277,298,9590,14376
newpoint,72,1,2,0,20665,21145,132,20355,21068
newpoint,73,1,0,0,18336,23977,672,18031,23636
newpoint,74,1,4,0,10554,16113,63.0625,10569,16260
newpoint,75,1,0,0,4828,17320,298,4833,17311
newpoint,76,1,3,0,5925,21491,126.125,6040,21363
newpoint,77,1,0,0,6886,21087,298,7019,20974
newpoint,78,1,0,0,10098,13370,298,10064,13337
newpoint,79,1,3,0,11917,19750,126.125,11988,19716
newpoint,80,1,1,0,15213,13023,298,15121,12878
newpoint,81,1,0,0,12492,13426,448,12603,13318
newpoint,82,1,1,0,14853,8561,198,14958,8366
newpoint,83,1,2,0,9454,8849,252.25,9606,8820
newpoint,84,1,3,0,7596,23224,126.125,7580,23112
newpoint,85,1,0,0,16469,13204,298,16552,13242
newpoint,86,1,0,0,3858,17463,198,3740,17459
newpoint,87,1,0,0,13759,27082,298,13996,26992
newpoint,88,1,0,0,16361,14599,298,16343,14554
newpoint,89,1,2,0,14474,24563,198,14485,24530
newpoint,90,1,1,0,13024,18305,88,12838,18300
newpoint,91,1,5,0,10460,6481,31.53125,10684,6627
newpoint,92,1,0,0,12059,16778,448,12020,16774
newpoint,93,1,1,0,14997,12189,298,14795,12302
newpoint,94,1,2,0,6652,18163,252.25,6747,18244
newpoint,95,1,1,0,19439,22792,132,19207,23436
newpoint,96,1,0,0,12763,14951,298,12797,14931
newpoint,97,1,0,0,10371,21227,448,10370,20956
newpoint,98,1,0,0,11347,7884,448,11042,7561
newpoint,99,1,0,0,10047,14615,448,10205,14609
newpoint,100,1,1,0,16565,13211,504.5,16552,13242
newpoint,101,1,1,0,8405,11734,298,8368,11785
newpoint,102,1,0,0,10965,18126,448,10939,18087
newpoint,103,1,1,0,10914,6778,298,10860,6834
newpoint,104,1,2,0,15635,8021,252.25,15609,8000
newpoint,105,1,0,0,13901,25182,448,14123,25187
newpoint,106,1,0,0,15652,8782,298,15584,8771
newpoint,107,1,2,0,10862,19037,252.25,10886,18770
newpoint,108,1,0,0,2914,20752,132,3083,20701
newpoint,109,1,1,0,12286,13455,298,12204,13364
newpoint,110,1,5,0,4214,19488,31.53125,4210,19515
newpoint,111,1,0,0,10889,11133,298,10883,11162
newpoint,112,1,0,0,10966,23917,298,10966,23890
newpoint,113,1,0,0,12244,13321,298,12204,13364
newpoint,114,1,1,0,12083,20057,298,11823,20094
newpoint,115,1,2,0,11812,18423,88,11809,18359
newpoint,116,1,3,0,10196,8453,126.125,10244,8436
newpoint,117,1,0,0,10981,5025,298,10929,5255
newpoint,118,1,0,0,17541,20919,298,17522,20900
newpoint,119,1,1,0,15837,23279,198,15915,23139
newpoint,120,1,2,0,10906,21708,252.25,10965,21628
newpoint,121,1,0,0,10011,5218,198,10006,5378
newpoint,122,1,0,0,14164,13941,298,14225,13896
newpoint,123,1,2,0,10643,19612,252.25,10598,19493
newpoint,124,1,5,0,11684,19271,31.53125,11718,19242
newpoint,125,1,2,0,7073,15982,252.25,7323,16192
newpoint,126,1,0,0,12853,21033,198,12833,20936
newpoint,127,1,0,0,12271,11714,298,12271,11825
newpoint,128,1,5,0,9585,20045,31.53125,9622,20025
newpoint,129,1,2,0,15210,12815,252.25,15016,12494
newpoint,130,1,5,0,10244,12267,31.53125,10308,12270
newpoint,131,1,2,0,13389,6463,252.25,13425,6777
newpoint,132,1,3,0,11619,16152,126.125,11694,16127
newpoint,133,1,0,0,9196,19712,672,9079,19717
newpoint,134,1,0,0,8896,14011,298,8736,14034
newpoint,135,1,0,0,16487,26427,132,16667,27010
newpoint,136,1,2,0,11497,11521,252.25,11430,11550
newpoint,137,1,1,0,11905,28288,298,11813,28261
newpoint,138,1,0,0,14463,25582,198,14534,25698
newpoint,139,1,2,0,13178,18535,132,13227,18487
newpoint,140,1,2,0,9806,14061,252.25,9866,14006
newpoint,141,1,0,0,11586,5251,298,11591,5188
newpoint,142,1,3,0,16309,24223,126.125,15748,23617
newpoint,143,1,2,0,10074,21316,252.25,10117,21312
newpoint,144,1,0,0,12682,17022,298,12593,16832
newpoint,145,1,0,0,12775,25571,298,12793,25474
newpoint,146,1,0,0,8418,21043,672,8455,21316
newpoint,147,1,0,0,4500,19677,298,4358,19773
newpoint,148,1,0,0,5787,21968,298,5897,21875
newpoint,149,1,0,0,10842,19788,298,10848,19744
newpoint,150,1,0,0,19715,13237,132,19598,13092
newpoint,151,1,1,0,10606,18731,448,10472,18718
